"Answer_ID","User","Timestamp","Question_ID","Answer"
"122760772","992137","2025-10-13 11:58:15","7397830","E"
"122760784","992131","2025-10-13 12:03:58","7397838","B"
"122760817","992134","2025-10-13 12:12:24","7397850","D"
"122760818","992145","2025-10-13 12:12:24","7397838","B"
"122760825","992152","2025-10-13 12:14:59","7397838","B"
"122760827","992134","2025-10-13 12:15:37","7397838","B"
"122760830","992130","2025-10-13 12:16:40","7397838","B"
"122760832","992152","2025-10-13 12:17:31","7397858","B"
"122760837","992130","2025-10-13 12:19:10","7397858","B"
"122760840","992132","2025-10-13 12:19:48","7397858","A"
"122760857","992132","2025-10-13 12:21:25","7397850","D"
"122760860","992151","2025-10-13 12:22:24","7397869","A"
"122760861","992160","2025-10-13 12:22:41","7397869","A"
"122760864","992132","2025-10-13 12:22:58","7397863","D"
"122760867","992164","2025-10-13 12:23:26","7397869","A"
"122760868","992152","2025-10-13 12:23:27","7397863","B"
"122760869","992161","2025-10-13 12:23:28","7397869","A"
"122760870","992162","2025-10-13 12:23:39","7397869","A"
"122760873","992152","2025-10-13 12:24:11","7397869","A"
"122760875","992172","2025-10-13 12:24:44","7397869","A"
"122760877","992164","2025-10-13 12:24:48","7397863","D"
"122760882","992162","2025-10-13 12:25:27","7397858","B"
"122760885","992159","2025-10-13 12:26:10","7397863","B"
"122760887","992149","2025-10-13 12:26:23","7397838","B"
"122760892","992168","2025-10-13 12:27:01","7397872","B"
"122760894","992152","2025-10-13 12:27:13","7397850","D"
"122760897","992159","2025-10-13 12:27:32","7397872","C"
"122760898","992172","2025-10-13 12:27:39","7397858","A"
"122760900","992158","2025-10-13 12:27:44","7397858","B"
"122760901","992149","2025-10-13 12:27:47","7397869","A"
"122760912","992152","2025-10-13 12:28:56","7397872","C"
"122760919","992152","2025-10-13 12:29:41","7397830","B"
"122760929","992158","2025-10-13 12:31:04","7397863","C"
"122760936","941401","2025-10-13 12:32:40","7397850","D"
"122760938","992158","2025-10-13 12:32:55","7397872","C"
"122760939","992168","2025-10-13 12:32:59","7397858","B"
"122760941","992159","2025-10-13 12:33:39","7397850","D"
"122760942","992131","2025-10-13 12:33:56","7397872","C"
"122760945","992158","2025-10-13 12:34:41","7397830","B"
"122760948","992159","2025-10-13 12:35:18","7397885","C"
"122760949","941401","2025-10-13 12:35:57","7397863","B"
"122760950","992173","2025-10-13 12:36:44","7397838","B"
"122760954","992158","2025-10-13 12:37:21","7397850","A"
"122760958","992173","2025-10-13 12:37:45","7397884","A"
"122760962","941401","2025-10-13 12:38:12","7397886","C"
"122760964","992177","2025-10-13 12:38:18","7397872","C"
"122760967","992159","2025-10-13 12:38:45","7397886","D"
"122760971","992158","2025-10-13 12:39:27","7397884","B"
"122760976","941401","2025-10-13 12:39:59","7397884","C"
"122760978","992172","2025-10-13 12:40:37","7397850","E"
"122760980","992158","2025-10-13 12:41:02","7397886","A"
"122760982","992181","2025-10-13 12:41:18","7397884","C"
"122760984","992171","2025-10-13 12:41:49","7397890","B"
"122760992","941401","2025-10-13 12:42:33","7397890","C"
"122760993","992182","2025-10-13 12:42:42","7397858","A"
"122760999","992158","2025-10-13 12:43:17","7397885","C"
"122761009","992158","2025-10-13 12:44:10","7397838","B"
"122761015","992158","2025-10-13 12:44:42","7397891","D"
"122761032","992131","2025-10-13 12:45:49","7397869","A"
"122761035","992171","2025-10-13 12:46:05","7397869","A"
