"Answer_ID","User","Timestamp","Question_ID","Answer"
"113308846","940885","2024-10-06 21:24:43","6980999","A"
"113308875","940882","2024-10-06 21:28:33","6981014","B"
"113308945","940885","2024-10-06 21:49:28","6981037","A"
"113308946","940882","2024-10-06 21:49:46","6981037","A"
"113308948","940892","2024-10-06 21:49:57","6980999","A"
"113308950","940882","2024-10-06 21:50:14","6981031","B"
"113308956","940882","2024-10-06 21:51:40","6980999","A"
"113308960","940885","2024-10-06 21:52:02","6981038","B"
"113308965","940892","2024-10-06 21:54:19","6981031","B"
"113308981","940891","2024-10-06 21:59:53","6981031","B"
"113308992","940891","2024-10-06 22:03:07","6981038","B"
"113308999","940891","2024-10-06 22:04:13","6981043","A"
"113309004","940891","2024-10-06 22:06:02","6980999","A"
"113309017","940896","2024-10-06 22:08:55","6981038","B"
"113309032","940896","2024-10-06 22:11:24","6980999","A"
"113309123","940885","2024-10-06 22:29:33","6981043","A"
"113309124","940900","2024-10-06 22:29:38","6981059","A"
"113309128","940885","2024-10-06 22:30:26","6981052","D"
"113309135","940885","2024-10-06 22:31:06","6981066","A"
"113309140","940900","2024-10-06 22:31:54","6981043","A"
"113309144","940885","2024-10-06 22:32:34","6981059","B"
"113309145","940900","2024-10-06 22:32:39","6980999","A"
"113309150","940900","2024-10-06 22:33:42","6981031","B"
"113309163","940901","2024-10-06 22:35:41","6980999","A"
"113309169","940901","2024-10-06 22:36:53","6981043","A"
"113309178","940901","2024-10-06 22:38:02","6981071","A"
"113309186","940885","2024-10-06 22:39:42","6981071","A"
"113309290","940905","2024-10-06 23:04:25","6980999","A"
"113309298","940905","2024-10-06 23:06:10","6981052","A"
"113309309","940905","2024-10-06 23:07:51","6981071","A"
"113309593","940911","2024-10-06 23:36:25","6980999","A"
"113309608","940912","2024-10-06 23:38:51","6980999","C"
"113309635","940912","2024-10-06 23:42:09","6981071","D"
"113309647","940912","2024-10-06 23:43:38","6981052","B"
"113309669","940911","2024-10-06 23:45:52","6981104","B"
"113311426","940951","2024-10-07 03:04:17","6981240","B"
"113311964","940957","2024-10-07 04:02:14","6981240","B"
"113312020","940951","2024-10-07 04:08:38","6980999","D"
"113312668","940967","2024-10-07 04:55:56","6980999","A"
"113312694","940967","2024-10-07 04:58:09","6981077","E"
"113315835","941023","2024-10-07 08:44:40","6981622","D"
"113315869","941023","2024-10-07 08:46:02","6980999","A"
"113315881","941023","2024-10-07 08:46:46","6981052","D"
"113315927","941023","2024-10-07 08:49:59","6981611","D"
"113315981","941024","2024-10-07 08:53:16","6981622","A"
"113316049","941024","2024-10-07 08:57:36","6981373","A"
"113316057","941023","2024-10-07 08:58:17","6981071","A"
"113316072","941027","2024-10-07 08:59:12","6981622","D"
"113316105","941027","2024-10-07 09:00:54","6981611","D"
"113316139","941027","2024-10-07 09:03:32","6980999","A"
"113316154","941027","2024-10-07 09:05:10","6981038","B"
"113316160","941027","2024-10-07 09:05:33","6981043","A"
"113316177","941027","2024-10-07 09:06:31","6981071","D"
"113316252","941027","2024-10-07 09:11:38","6981104","B"
"113316272","941027","2024-10-07 09:12:53","6981240","E"
"113316285","941024","2024-10-07 09:13:53","6981059","B"
"113316289","941027","2024-10-07 09:14:08","6981059","A"
"113316322","941024","2024-10-07 09:16:48","6981611","D"
"113316383","941023","2024-10-07 09:20:50","6981373","A"
"113316431","941023","2024-10-07 09:24:19","6981059","B"
"113316436","941027","2024-10-07 09:24:33","6981077","E"
"113316511","941027","2024-10-07 09:28:31","6981052","C"
"113316534","941031","2024-10-07 09:29:25","6981611","D"
"113316573","941031","2024-10-07 09:31:55","6981622","A"
"113316644","941001","2024-10-07 09:37:33","6981622","D"
"113316676","941001","2024-10-07 09:39:50","6981240","B"
"113316692","941001","2024-10-07 09:41:02","6981071","A"
"113316720","941001","2024-10-07 09:42:36","6981373","A"
"113316794","940951","2024-10-07 09:46:45","6981611","D"
"113316935","941023","2024-10-07 09:57:38","6981104","B"
"113317142","941023","2024-10-07 10:09:37","6981751","A"
"113317158","941023","2024-10-07 10:10:34","6981043","A"
"113317159","940897","2024-10-07 10:10:42","6981071","A"
"113317183","940897","2024-10-07 10:12:31","6981622","A"
"113317187","941037","2024-10-07 10:13:03","6981611","D"
"113317191","941046","2024-10-07 10:13:30","6981038","B"
"113317204","941048","2024-10-07 10:14:37","6981751","D"
"113317208","941023","2024-10-07 10:14:42","6981750","D"
"113317284","941037","2024-10-07 10:19:10","6980999","A"
"113317316","941049","2024-10-07 10:20:52","6981752","A"
"113317340","941046","2024-10-07 10:22:21","6981077","B"
"113317350","940901","2024-10-07 10:22:40","6981751","D"
"113317372","941050","2024-10-07 10:23:43","6981787","B"
"113317404","940885","2024-10-07 10:25:22","6981750","D"
"113317406","941050","2024-10-07 10:25:23","6981751","D"
"113317418","941027","2024-10-07 10:26:12","6981796","D"
"113317422","941069","2024-10-07 10:26:23","6981796","E"
"113317425","915958","2024-10-07 10:26:29","6981796","E"
"113317428","941027","2024-10-07 10:26:35","6981750","C"
"113317432","941060","2024-10-07 10:26:48","6980999","A"
"113317435","941057","2024-10-07 10:26:52","6980999","A"
"113317436","940901","2024-10-07 10:26:53","6981059","B"
