ID,Timestamp,Avg_rating,Total_answers,Total_ratings,Answer,Num_options,Question,OptionA,OptionB,OptionC,OptionD,OptionE,Explanation,Tags
7397830,13/10/2025 11:51,3.89,86,57,B,5,"<p>This function has no errors.</p><p>&nbsp;</p><p>void Function(int* array, int length){<br />&nbsp; &nbsp; &nbsp; for (int i = 0; i &lt; length; i++){<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; array[i] = array[length-1-i];<br />&nbsp; &nbsp; &nbsp; }<br />}</p><p>&nbsp;</p><p>What would the array look like when the function takes in the array { 0, 1, 2, 3, 4 }?</p>",<p>{ 4 3 2 1 0 }</p>,<p>{ 4 3 2 3 4 }</p>,<p>{ 3 2 1 0 4 }</p>,<p>{ 4 3 2 1 0 }</p>,<p>{ 0 1 2 1 0 }</p>,"<p>The function loops over the array from index 0 to the last index (in this case 4)</p><p>&nbsp;</p><p>On each iteration of the loop it sets the item to the opposite side of the array (this is what length-1-i does it gets the opposite side of the array)</p><p>&nbsp;</p><p>First iteration&nbsp;</p><p>Start { 0 1 2 3 4 }</p><p>End&nbsp; { 4 1 2 3 4 }</p><p>&nbsp;</p><p>Second iteration</p><p>Start { 4 1 2 3 4 }</p><p>End&nbsp; { 4 3 2 3 4 }</p><p>&nbsp;</p><p>Third iteration</p><p>Start { 4 3 2 3 4 }</p><p>End { 4 3 2 3 4 }</p><p>&nbsp;</p><p>On this iteration array[2] = array[2], so the value doesn't change</p><p>&nbsp;</p><p>Fourth iteration</p><p>Start { 4 3 2 3 4 }</p><p>End { 4 3 2 3 4 }</p><p>&nbsp;</p><p>On this iteration array[3] = array[1], so the value doesn't change</p><p>&nbsp;</p><p>Fifth iteration</p><p>Start { 4 3 2 3 4 }</p><p>End { 4 3 2 3 4 }</p><p>On this iteration array[4] = array[0], so the value doesn't change</p>","Loops, Indexing, Pass by Reference"
7397838,13/10/2025 11:56,2.45,27,22,B,4,"<p><strong>What is the output of the following code?</strong></p><p>&nbsp;</p><p>#include &lt;stdio.h&gt;</p><p>int main()</p><p>{<br />int i = 0;<br />printf(""Result = "");<br />while (i &lt; 5)</p><p>{<br />printf(""%d "", i * 2);<br />i++;<br />}<br />return 0;<br />}</p><p>&nbsp;</p>",<p>1 3 5 7 9</p>,<p>0 2 4 6 8</p>,<p>2 4 6 8 10</p>,<p>0 1 2 3 4</p>,,"<p>The correct answer is<strong> (b) 0 2 4 6 8</strong>.</p><p>&nbsp;</p><p>This is because the code i = 0 and enters a while loop that runs while i &lt; 5. Inside the loop, it prints i * 2 followed by a space, then increments i by 1. The values printed are 0, 2, 4, 6, and 8, resulting in the final output:&nbsp;<strong>0 2 4 6 8.</strong> Option <strong>(a)</strong> is incorrect because it shows odd numbers, which would result from i * 2 + 1. Option <strong>(c)</strong> starts from 2 instead of 0, which would happen if i began at 1. Option <strong>(d)</strong> prints the value of i rather than i * 2, which would match the output if the code used printf(""%d "", i); instead.</p>","loops, printf function, output formatting"
7397858,13/10/2025 12:09,2.38,20,13,B,4,"<p>What is the output of the following program?</p><p>&nbsp;</p><p>#include &lt;stdio.h&gt;</p><p>&nbsp;</p><p>int main(void)<br />{<br />&nbsp; &nbsp; int array[10];</p><p>&nbsp;</p><p>&nbsp; &nbsp; for (int i = 0; i &lt;= 10; i++) {<br />&nbsp; &nbsp; &nbsp; &nbsp; array[i] = i;<br />&nbsp; &nbsp; }</p><p>&nbsp;</p><p>&nbsp; &nbsp; for (int j = 0; j &lt;= 10; j++) {<br />&nbsp; &nbsp; &nbsp; &nbsp; if (array[j] % 3 != 0) {<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; printf(""%d "", array[j]);<br />&nbsp; &nbsp; &nbsp; &nbsp; }</p><p>&nbsp; &nbsp; }</p><p>}</p>",<p>0 3 6 9</p>,<p>1 2 4 5 7 8 10</p>,<p>1 2 4 5 7 8&nbsp;</p>,<p>3 6 9</p>,,"<p>The first for loop initialises the array to be [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]. The second for loop prints out (from 0-10 inclusive), all the values that are not equal to 0 when mod 3 is applied (%3).</p>","Arrays, Modulus, Order of operations, For loops"
7397863,13/10/2025 12:15,3,8,6,B,4,"<p>What will the array ""<em>array</em>"" contain after the following code has been run?</p><p>&nbsp;</p><p>#include &lt;stdio.h&gt;</p><p>&nbsp;</p><p>int main(void) {</p><p>&nbsp;</p><p>int array[] = { 1, 2, 3, 4 };</p><p>&nbsp; &nbsp; for (int i = 0; i &lt; 3; i++) {<br />&nbsp; &nbsp; &nbsp; &nbsp; for (int j = 1; j &lt; 4; j++) {<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; array[i] = array[i] + j<br />&nbsp; &nbsp; &nbsp; &nbsp; }<br />&nbsp; &nbsp; }<br />}</p>","<p>6, 6, 6, 0</p><p>&nbsp;</p>","<p>7, 8, 9, 4</p><p>&nbsp;</p><p>&nbsp;</p>","<p>7, 8, 9, 10&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>","<p>4, 5, 6, 4&nbsp;<br /><br /><br /></p>",,"<p>A:&nbsp;These are the values being added to the array, however the array is already filled with values, so this is not correct.</p><p>B: This correctly identifies that the outside loop repeats only three times, thus only altering the first three elements, and correctly uses nested loops (eg. 3 loops through j for every one loop through i)<br />C: The outside loop (which controls the array index) only modifies the array for the first three elements (as i &lt; 3), meaning the fourth element should not be modified, as it is here.<br />D:&nbsp; The inside loop adds 1+2+3 = 6, rather than just 3.</p>",Nested Loops
7397869,13/10/2025 12:22,3.94,41,32,A,5,"<p>What output is produced by the following code?</p><p>&nbsp;</p><p><span style=""font-family: courier new, courier, monospace;"">int i = 0;</span><br /><span style=""font-family: courier new, courier, monospace;"">printf(""Result = "");</span></p><p><span style=""font-family: courier new, courier, monospace;"">while (i &lt; 10) {</span><br /><span style=""font-family: courier new, courier, monospace;"">&nbsp; &nbsp;if (i % 4 == 0) {</span><br /><span style=""font-family: courier new, courier, monospace;"">&nbsp; &nbsp; &nbsp; printf(""%d "", i);</span><br /><span style=""font-family: courier new, courier, monospace;"">&nbsp; &nbsp;} else if (i % 2 == 0) {</span><br /><span style=""font-family: courier new, courier, monospace;"">&nbsp; &nbsp; &nbsp;printf(""X "");</span><br /><span style=""font-family: courier new, courier, monospace;"">&nbsp; &nbsp;}</span><br /><span style=""font-family: courier new, courier, monospace;"">&nbsp; &nbsp;i++;</span><br /><span style=""font-family: courier new, courier, monospace;"">}</span></p>",<p>Result = 0 X 4 X 8</p>,<p>Result = X X X X X</p>,<p>Result = 0 1 X 3 4 5 X 7 8 9</p>,<p>Result = X 2 X 6 X</p>,<p>Result = 0 2 4 6 8</p>,<p>Please refer to the lecture recording from Monday 13th October.</p>,-
7397872,13/10/2025 12:24,3.19,17,16,C,5,"<p>What is the output of the following C code?</p><p>&nbsp;</p><p>#include &lt;stdio.h&gt;</p><p>int main(void) {<br />int numbers[5] = {5, 10, 15, 20, 25};<br />printf(""%d\n"", numbers[2]);<br />return 0;<br />}</p>",<p>5</p>,<p>10</p>,<p>15</p>,<p>20</p>,<p>0</p>,"<p>C arrays are zero-indexed meaning that the first value in the array has an index value of 0.<br />numbers[0] = 5, numbers[1] = 10, numbers[2] = 15, etc.<br />Therefore it means numbers[2] prints 15.</p>","Arrays, Indexing"
7397886,13/10/2025 12:34,3.5,8,8,A,4,"<p><span style=""font-family: 'courier new', courier, monospace;"">int main(void) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; int x = 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; for (int i = 0; i &lt; 10; i = i + 2) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; if (i == 2) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; printf(""I like the number %d "", i);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; }</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; else if (i % 2 == 1) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; printf(""%d "", i);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; }</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; }</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">What would this display</span></p>",<p>I like the number 2</p>,<p>I like the number 2 4 6 8</p>,<p>I like the number 2 3 5 7 9</p>,<p>Nothing will be printed</p>,,"<p>As it i goes up in increments of 2, it will never satisfy the condition of i % 2 == 1 as it will always be 0, hence only the first loop is excecuted</p>","Loops, For loops"
7397891,13/10/2025 12:02,2.2,6,5,D,5,"<p>What is the output of this program?</p><p>&nbsp;</p><p>#include &lt;stdio.h&gt;</p><p>&nbsp;</p><p>void ModifyArray(int *data, int size)</p><p>{<br />&nbsp; &nbsp; &nbsp;int i;<br />&nbsp; &nbsp; &nbsp;for (i = 0; i &lt; size - 1; i++) {<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; *(data + i) = *(data + i) + *(data + i + 1);<br />&nbsp; &nbsp; &nbsp;}<br />}</p><p>&nbsp;</p><p>int main(void) {<br />&nbsp; &nbsp; &nbsp;int nums[] = {10, 2, 8, 5, 9};<br />&nbsp; &nbsp; &nbsp;ModifyArray(nums, 5);<br />&nbsp; &nbsp; &nbsp;printf(""Result: %d %d %d"", nums[0], nums[2], nums[4]);<br />&nbsp; &nbsp; &nbsp;return 0;<br />}</p>",<p>Result: 10 8 9</p>,<p>Result: 2 5 9</p>,<p>Result: 10 20 34</p>,<p>Result: 12 13 9</p>,<p>Result: 12 10 13</p>,"<p>The for loop within the ModifyArray function only runs i = 0,1,2,3 since the condition is i&lt;size-1</p><p>The output is therefore ""Result: (nums[0] + nums[1]) (nums[2] + nums[3]) (nums[4])"" as the 5th element in the array does not get modified.</p>","Loops, printf function, Pass by Reference, Indexing, output formatting"
7397892,13/10/2025 12:42,3.8,6,5,A,5,"<p>#include &lt;stdio.h&gt;<br />int main(){<br />&nbsp; &nbsp; int array[40];<br />&nbsp; &nbsp; for (int i = 0; i &lt;= 20; i++) {<br />&nbsp; &nbsp; array[i] = i*i;<br />&nbsp; &nbsp; }<br />&nbsp; &nbsp; for (int j = 0; j &lt;= 10; j++) {<br />&nbsp; &nbsp; if (array[j] % 2 != 0) {<br />&nbsp; &nbsp; &nbsp; &nbsp; printf(""%d "", array[j]);<br />&nbsp; &nbsp; }<br />&nbsp; &nbsp; }<br />}</p>",<p>1 9 25 49 81</p>,<p>0 4 16 36 64 100</p>,<p>0 4 16 36 64 100 144 196 256 324 400</p>,<p>1 9 25 49 81 121 169 225 289 361</p>,<p>0 4 16 36 64 100 144 196</p>,<p>The question asks to find the odd number in the first 11th elements in the built array.&nbsp;</p>,"Arrays, For loops"
7397894,13/10/2025 12:46,3,5,5,B,5,"<p>int main(void) {<br />for (int i = 0; i &lt; 7; i++) {<br />if (i % 3 == 0)<br />printf(""%d "", i);<br />}<br />return 0;<br />}</p>",<p>0 1 2 3 4 5 6</p>,<p>0 3 6</p>,<p>3 6</p>,<p>1 4</p>,<p>0 1 2</p>,"<p>The loop runs from i = 0 to i = 6.<br />i % 3 == 0 is true for numbers divisible by 3 which are 0, 3, and 6.<br />Hence, those values are printed.</p>","Loops, printf function, Modulus"
